index,title,release_year,score,main_genre,main_production,release_date
0,White Christmas,1954,7.5,romance,United States,1954-01-01
1,The Guns of Navarone,1961,7.5,war,United States,1961-01-01
2,My Fair Lady,1964,7.8,drama,United States,1964-01-01
3,Bonnie and Clyde,1967,7.7,drama,United States,1967-01-01
4,Dirty Harry,1971,7.7,thriller,United States,1971-01-01
6,Monty Python and the Holy Grail,1975,8.2,comedy,United Kingdom,1975-01-01
7,Unknown,1976,8.3,crime,United States,1976-01-01
8,Life of Brian,1979,8.0,comedy,United Kingdom,1979-01-01
10,Annie,1982,6.6,drama,United States,1982-01-01
11,Christine,1983,6.7,horror,United States,1983-01-01
12,Once Upon a Time in America,1984,8.3,drama,United States,1984-01-01
13,Stand by Me,1986,8.1,drama,United States,1986-01-01
14,Full Metal Jacket,1987,8.3,drama,United Kingdom,1987-01-01
15,When Harry Met Sally...,1989,7.7,romance,United States,1989-01-01
16,Awakenings,1999,7.8,drama,United States,1999-01-01
17,My Girl,1991,6.9,comedy,United States,1991-01-01
18,A River Runs Through It,1992,7.2,drama,United States,1992-01-01
20,Forrest Gump,1994,8.8,drama,United States,1994-01-01
21,Desperado,1995,7.1,thriller,United States,1995-01-01
22,Happy Gilmore,1996,7.0,comedy,United States,1996-01-01
23,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,scifi,Japan,1997-01-01
24,Saving Private Ryan,1998,8.6,drama,United States,1998-01-01
25,"Girl, Interrupted",1999,7.3,drama,United States,1999-01-01
26,The Patriot,2000,7.2,drama,Germany,2000-01-01
27,Lagaan: Once Upon a Time in India,2001,8.1,drama,India,2001-01-01
28,Road to Perdition,2002,7.7,thriller,United States,2002-01-01
29,Big Fish,2003,8.0,drama,United States,2003-01-01
30,Swades,2004,8.1,drama,India,2004-01-01
31,Memoirs of a Geisha,2005,7.3,drama,France,2005-01-01
32,Rang De Basanti,2006,8.1,comedy,India,2006-01-01
33,Like Stars on Earth,2007,8.3,drama,India,2007-01-01
34,Ip Man,2008,8.0,drama,Hong Kong,2008-01-01
35,3 Idiots,2009,8.4,comedy,India,2009-01-01
36,Inception,2010,8.8,scifi,United Kingdom,2010-01-01
37,Warrior,2011,8.2,drama,United States,2011-01-01
38,Django Unchained,2012,8.4,western,United States,2012-01-01
39,Rush,2013,8.1,drama,United States,2013-01-01
40,Queen,2014,8.2,drama,India,2014-01-01
41,Drishyam,1999,8.2,thriller,India,1999-01-01
42,Dangal,2016,8.4,action,India,2016-01-01
43,Bāhubali 2: The Conclusion,2017,8.2,fantasy,India,2017-01-01
44,Andhadhun,2018,8.2,thriller,India,2018-01-01
45,Dave Chappelle: Sticks & Stones,2019,8.4,comedy,United States,2019-01-01
46,David Attenborough: A Life on Our Planet,2020,9.0,documentary,United Kingdom,2020-01-01
47,Bo Burnham: Inside,2021,8.7,comedy,United States,2021-01-01
48,The Tinder Swindler,2022,7.2,crime,United Kingdom,2022-01-01
